product_id,category,price,profit_margin,inventory_level
1,Fashion,1135,0.38,58
2,Fashion,4537,0.17,301
3,Home,201,0.09,391
4,Beauty,3048,0.22,333
5,Beauty,4244,0.14,87
6,Fashion,2149,0.15,114
7,Home,1117,0.16,178
8,Home,3374,0.33,226
9,Books,2441,0.24,387
10,Beauty,289,0.16,128
11,Electronics,1909,0.26,199
12,Beauty,2369,0.3,264
13,Beauty,4438,0.15,379
14,Books,3241,0.19,275
15,Electronics,305,0.09,158
16,Books,1086,0.11,173
17,Electronics,627,0.29,149
18,Fashion,2095,0.11,356
19,Electronics,516,0.23,497
20,Books,834,0.3,267
21,Beauty,2125,0.09,383
22,Electronics,2256,0.25,278
23,Electronics,3344,0.14,190
24,Home,2470,0.39,169
25,Beauty,1639,0.22,360
26,Fashion,752,0.33,409
27,Books,915,0.24,297
28,Fashion,4111,0.07,297
29,Beauty,1913,0.27,389
30,Electronics,3589,0.38,235
31,Electronics,1307,0.26,20
32,Beauty,4406,0.34,19
33,Electronics,450,0.36,280
34,Electronics,2630,0.13,282
35,Electronics,2254,0.12,433
36,Books,658,0.26,411
37,Books,407,0.19,192
38,Home,1099,0.34,466
39,Fashion,3661,0.37,162
40,Beauty,3585,0.17,497
41,Beauty,221,0.13,324
42,Beauty,609,0.32,343
43,Home,1094,0.15,133
44,Books,714,0.34,482
45,Home,4309,0.2,123
46,Beauty,2334,0.28,287
47,Fashion,3795,0.08,423
48,Electronics,3156,0.27,477
49,Books,1760,0.21,222
50,Books,1466,0.26,181
51,Home,2369,0.11,297
52,Books,3838,0.31,444
53,Beauty,949,0.35,183
54,Beauty,3627,0.13,122
55,Home,4980,0.08,385
56,Beauty,2127,0.06,414
57,Fashion,4004,0.27,492
58,Home,3902,0.26,131
59,Fashion,2556,0.24,41
60,Electronics,4990,0.13,231
61,Fashion,2535,0.19,128
62,Electronics,506,0.26,48
63,Electronics,3865,0.22,277
64,Fashion,2189,0.4,242
65,Home,861,0.1,440
66,Beauty,4844,0.29,27
67,Beauty,511,0.19,158
68,Electronics,3120,0.2,406
69,Electronics,1282,0.3,158
70,Home,3171,0.29,135
71,Books,954,0.4,401
72,Fashion,4330,0.09,311
73,Electronics,4740,0.09,369
74,Beauty,552,0.3,247
75,Home,1102,0.25,144
76,Fashion,4088,0.15,160
77,Home,358,0.08,245
78,Fashion,2177,0.08,233
79,Fashion,1156,0.36,212
80,Electronics,2271,0.12,265
81,Home,603,0.16,95
82,Home,4811,0.13,159
83,Beauty,2979,0.17,244
84,Beauty,1587,0.07,354
85,Electronics,3653,0.23,31
86,Electronics,1155,0.07,357
87,Books,1912,0.33,294
88,Beauty,4903,0.13,278
89,Fashion,1473,0.24,475
90,Home,4011,0.36,267
91,Electronics,2825,0.28,38
92,Home,2582,0.24,222
93,Home,1641,0.16,472
94,Books,3179,0.17,445
95,Beauty,1997,0.28,292
96,Electronics,4590,0.4,59
97,Home,4209,0.28,104
98,Electronics,1594,0.25,472
99,Fashion,4481,0.31,416
100,Books,1469,0.21,97
101,Fashion,4932,0.07,53
102,Electronics,3914,0.25,470
103,Electronics,729,0.39,287
104,Beauty,3823,0.11,180
105,Home,3158,0.29,430
106,Home,3114,0.12,198
107,Fashion,3791,0.24,362
108,Books,2347,0.08,193
109,Home,4773,0.21,12
110,Beauty,3569,0.31,200
111,Fashion,1139,0.17,127
112,Fashion,725,0.28,28
113,Beauty,201,0.33,32
114,Books,574,0.37,422
115,Beauty,2540,0.13,39
116,Books,4205,0.19,304
117,Beauty,3252,0.1,117
118,Beauty,4848,0.4,376
119,Electronics,2565,0.37,290
120,Fashion,1725,0.24,137
121,Beauty,4676,0.34,238
122,Beauty,1846,0.23,120
123,Home,213,0.27,145
124,Fashion,4799,0.08,371
125,Home,2478,0.31,195
126,Fashion,3355,0.09,153
127,Home,329,0.34,81
128,Beauty,4014,0.32,138
129,Beauty,3416,0.3,373
130,Electronics,3138,0.06,270
131,Home,4128,0.16,12
132,Books,2240,0.14,458
133,Electronics,227,0.18,397
134,Home,2313,0.08,113
135,Home,1452,0.38,492
136,Electronics,4556,0.24,233
137,Beauty,2246,0.16,329
138,Home,4755,0.19,371
139,Beauty,4223,0.21,363
140,Electronics,4596,0.26,482
141,Beauty,3574,0.23,19
142,Fashion,3666,0.37,414
143,Books,3281,0.22,393
144,Home,3978,0.4,311
145,Books,829,0.35,240
146,Beauty,469,0.12,228
147,Home,2839,0.38,420
148,Beauty,2193,0.09,75
149,Fashion,3091,0.34,434
150,Electronics,3632,0.18,121
151,Home,1480,0.36,22
152,Fashion,2560,0.35,402
153,Fashion,775,0.33,429
154,Home,1507,0.33,95
155,Beauty,3392,0.16,243
156,Fashion,3378,0.08,99
157,Books,2934,0.19,323
158,Fashion,2412,0.11,63
159,Beauty,2552,0.29,21
160,Beauty,3768,0.17,218
161,Books,1855,0.39,471
162,Fashion,1779,0.27,23
163,Beauty,2403,0.34,130
164,Home,1590,0.1,427
165,Electronics,1942,0.35,446
166,Electronics,2125,0.37,386
167,Electronics,819,0.22,29
168,Fashion,1474,0.26,84
169,Books,1156,0.32,409
170,Beauty,2139,0.11,252
171,Home,4153,0.23,232
172,Home,2581,0.19,79
173,Fashion,1168,0.1,321
174,Electronics,1516,0.18,220
175,Fashion,1243,0.07,110
176,Books,481,0.06,195
177,Books,3044,0.1,141
178,Beauty,1258,0.39,120
179,Beauty,4493,0.24,390
180,Books,2732,0.39,141
181,Books,4028,0.2,29
182,Books,1208,0.16,403
183,Fashion,1429,0.23,33
184,Books,1235,0.2,236
185,Home,4785,0.09,163
186,Electronics,475,0.27,302
187,Books,2940,0.13,239
188,Electronics,2489,0.27,478
189,Fashion,1439,0.28,319
190,Electronics,325,0.1,497
191,Fashion,4265,0.07,368
192,Home,4512,0.32,414
193,Fashion,4068,0.21,211
194,Fashion,1408,0.07,47
195,Beauty,3449,0.4,439
196,Books,1118,0.07,269
197,Books,4123,0.29,197
198,Home,4603,0.39,66
199,Home,2169,0.13,438
200,Books,2993,0.1,29
201,Beauty,1091,0.09,282
202,Books,4670,0.16,128
203,Beauty,2233,0.09,80
204,Home,1564,0.29,13
205,Electronics,328,0.07,230
206,Home,1214,0.23,23
207,Home,1999,0.4,12
208,Fashion,4812,0.33,225
209,Fashion,1718,0.27,238
210,Fashion,4381,0.16,345
211,Fashion,1398,0.27,195
212,Beauty,4073,0.23,64
213,Books,2674,0.2,397
214,Electronics,3685,0.1,385
215,Home,4249,0.36,263
216,Beauty,3919,0.21,33
217,Electronics,502,0.12,171
218,Beauty,4152,0.18,167
219,Beauty,4883,0.19,91
220,Home,1186,0.34,412
221,Books,2063,0.31,168
222,Fashion,4640,0.32,197
223,Books,3272,0.05,69
224,Home,3324,0.2,412
225,Home,1527,0.22,314
226,Home,2608,0.06,328
227,Electronics,3873,0.14,375
228,Books,3491,0.32,220
229,Books,4233,0.1,415
230,Beauty,903,0.24,161
231,Beauty,774,0.13,118
232,Beauty,3432,0.05,85
233,Home,4983,0.13,39
234,Books,2832,0.39,323
235,Home,4028,0.33,495
236,Electronics,3430,0.39,126
237,Beauty,688,0.22,424
238,Home,1547,0.09,365
239,Home,3881,0.24,201
240,Electronics,3373,0.21,28
241,Fashion,4789,0.35,441
242,Books,1867,0.08,182
243,Fashion,1837,0.22,237
244,Beauty,4314,0.1,359
245,Home,3753,0.16,192
246,Electronics,1200,0.31,122
247,Electronics,1050,0.22,192
248,Books,1588,0.18,490
249,Fashion,3912,0.19,155
250,Books,1567,0.21,328
251,Home,1021,0.32,125
252,Books,654,0.36,122
253,Electronics,1824,0.38,260
254,Electronics,2972,0.33,485
255,Beauty,3926,0.16,260
256,Beauty,3347,0.29,312
257,Home,4289,0.2,468
258,Fashion,2390,0.14,322
259,Books,1116,0.34,127
260,Home,4186,0.06,310
261,Beauty,3075,0.37,170
262,Books,1640,0.21,410
263,Beauty,4600,0.27,207
264,Books,935,0.28,269
265,Fashion,3768,0.36,157
266,Home,3538,0.27,249
267,Books,3215,0.26,56
268,Electronics,3089,0.07,484
269,Electronics,1161,0.23,408
270,Books,3189,0.1,207
271,Books,4048,0.31,56
272,Books,1226,0.23,87
273,Electronics,4065,0.29,133
274,Electronics,3063,0.06,84
275,Books,2701,0.08,368
276,Beauty,2147,0.3,146
277,Beauty,1377,0.08,99
278,Fashion,4960,0.07,409
279,Home,211,0.05,334
280,Beauty,4599,0.38,70
281,Electronics,3564,0.31,147
282,Beauty,3222,0.17,59
283,Fashion,3571,0.15,268
284,Fashion,3030,0.17,470
285,Home,242,0.32,116
286,Beauty,1143,0.28,122
287,Electronics,2590,0.11,359
288,Electronics,2745,0.11,263
289,Books,2611,0.08,127
290,Electronics,1204,0.28,207
291,Home,220,0.32,346
292,Home,606,0.14,374
293,Electronics,1214,0.06,60
294,Electronics,4631,0.08,254
295,Books,2038,0.39,412
296,Electronics,3388,0.15,435
297,Books,914,0.32,44
298,Books,4346,0.27,311
299,Electronics,4054,0.18,419
300,Fashion,4619,0.12,78
